code,level,name,parent
77,2,"Cho thuê máy móc, thiết bị (không kèm người điều khiển); cho thuê đồ dùng cá nhân và gia đình; cho thuê tài sản vô hình phi tài chính",N
78,2,Hoạt động dịch vụ lao động và việc làm,N
79,2,"Hoạt động của các đại lý du lịch, kinh doanh tua du lịch và các dịch vụ hỗ trợ, liên quan đến quảng bá và tổ chức tua du lịch",N
80,2,Hoạt động điều tra bảo đảm an toàn,N
81,2,"Hoạt động dịch vụ vệ sinh nhà cửa, công trình và cảnh quan",N
82,2,"Hoạt động hành chính, hỗ trợ văn phòng và các hoạt động hỗ trợ kinh doanh khác",N
84,2,"Hoạt động của Đảng cộng sản, tổ chức chính trị - xã hội, quản lý nhà nước, an ninh quốc phòng, đối ngoại và bảo đảm xã hội bắt buộc",O
85,2,Giáo dục và đào tạo,P
86,2,Hoạt động y tế,Q
87,2,"Hoạt động chăm sóc, điều dưỡng tập trung",Q
88,2,Hoạt động trợ giúp xã hội không tập trung,Q
90,2,"Hoạt động sáng tác, nghệ thuật và giải trí",R
91,2,"Hoạt động của thư viện, lưu trữ, bảo tàng và các hoạt động văn hóa khác",R
92,2,"Hoạt động xổ số, cá cược và đánh bạc",R
93,2,"Hoạt động thể thao, vui chơi và giải trí",R
94,2,"Hoạt động của các hiệp hội, tổ chức khác",S
95,2,"Sửa chữa máy vi tính, đồ dùng cá nhân và gia đình",S
96,2,Hoạt động dịch vụ phục vụ cá nhân khác,S
97,2,Hoạt động làm thuê công việc gia đình trong các hộ gia đình,T
98,2,Hoạt động sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình,T
99,2,Hoạt động của các tổ chức và cơ quan quốc tế,U
011,3,Trồng cây hàng năm,01
012,3,Trồng cây lâu năm,01
013,3,Nhân và chăm sóc cây giống nông nghiệp,01
014,3,Chăn nuôi,01
015,3,"Trồng trọt, chăn nuôi hỗn hợp",01
016,3,Hoạt động dịch vụ nông nghiệp,01
017,3,"Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan",01
021,3,"Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp",02
022,3,Khai thác gỗ,02
023,3,"Khai thác, thu nhặt lâm sản khác trừ gỗ",02
024,3,Hoạt động dịch vụ lâm nghiệp,02
031,3,Khai thác thủy sản,03
032,3,Nuôi trồng thủy sản,03
051,3,Khai thác và thu gom than cứng,05
052,3,Khai thác và thu gom than non,05
061,3,Khai thác dầu thô,06
062,3,Khai thác khí đốt tự nhiên,06
071,3,Khai thác quặng sắt,07
072,3,Khai thác quặng không chứa sắt (trừ quặng kim loại quý hiếm),07
073,3,Khai thác quặng kim loại quý hiếm,07
081,3,"Khai thác đá, cát, sỏi, đất sét",08
089,3,Khai khoáng chưa được phân vào đâu,08
091,3,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên,09
099,3,Hoạt động dịch vụ hỗ trợ khai khoáng khác,09
101,3,"Chế biến, bảo quản thịt và các sản phẩm từ thịt",10
102,3,"Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản",10
103,3,Chế biến và bảo quản rau quả,10
104,3,"Sản xuất dầu, mỡ động, thực vật",10
105,3,Chế biến sữa và các sản phẩm từ sữa,10
106,3,Xay xát và sản xuất bột,10
107,3,Sản xuất thực phẩm khác,10
108,3,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản",10
110,3,Sản xuất đồ uống,11
120,3,Sản xuất sản phẩm thuốc lá,12
131,3,"Sản xuất sợi, vải dệt thoi và hoàn thiện sản phẩm dệt",13
139,3,Sản xuất hàng dệt khác,13
141,3,May trang phục (trừ trang phục từ da lông thú),14
142,3,Sản xuất sản phẩm từ da lông thú,14
143,3,"Sản xuất trang phục dệt kim, đan móc",14
151,3,"Thuộc, sơ chế da; sản xuất va li, túi xách, yên đệm; sơ chế và nhuộm da lông thú",15
152,3,"Sản xuất giày, dép",15
161,3,"Cưa, xẻ, bào gỗ và bảo quản gỗ",16
162,3,"Sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện",16
